,MINE_ID,CAL_YR,PROPOSED_PENALTY,NDL_IR,NFDL_IR,SM,C/100,SS/100,O/100,Risk_Index
118,2602573.0,2014.0,0.0,0.04,0.01,0.0,0.07,0.02,0.05,0.00027300674164540504
119,2602634.0,2014.0,0.0,0.0,0.05,0.06,0.19,0.16,0.0,0.0006324263593452096
120,2602661.0,2011.0,0.0,0.06,0.05,0.01,0.1,0.08,0.0,0.0004229669754658227
121,2602661.0,2014.0,0.0,0.0,0.02,0.03,0.15,0.02,0.0,0.00029290191386829574
122,2602666.0,2011.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,7.073951096812032e-05
123,2602666.0,2014.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,9.431934795749375e-05
124,2602675.0,2011.0,0.0,0.0,0.0,0.0,0.06,0.03,0.0,0.00011033036367768231
125,2602689.0,2011.0,0.0,0.0,0.11,0.11,0.04,0.0,0.1,0.0006115505507775692
126,2602689.0,2014.0,0.0,0.0,0.05,0.01,0.14,0.02,0.0,0.0002991148105308665
127,2602691.0,2011.0,0.0,0.0,0.0,0.0,0.09,0.04,0.0,0.0001588970700649298
128,2602691.0,2014.0,0.0,0.13,0.0,0.01,0.19,0.08,0.03,0.0005974193349028063
129,2602693.0,2011.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,7.073951096812032e-05
130,2602693.0,2014.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.00010610926645218047
131,2602711.0,2014.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.178991849468672e-05
132,2602714.0,2014.0,0.0,0.0,0.0,0.0,0.26,0.13,0.0,0.00047809824260329004
133,2602720.0,2014.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.178991849468672e-05
134,2602742.0,2014.0,0.0,0.0,0.11,0.06,0.1,0.06,0.0,0.0005020369291327002
135,2602745.0,2014.0,0.0,0.38,0.0,0.0,0.21,0.08,0.0,0.0009347547410795872
136,2901267.0,2011.0,0.01,0.23,0.03,0.05,0.11,0.04,0.0,0.0006966632893483897
137,2901267.0,2014.0,0.0,0.04,0.02,0.0,0.09,0.03,0.0,0.00024281665658197667
138,3001185.0,2011.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,4.715967397874688e-05
139,3001185.0,2014.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.00010892333126918171
140,3502630.0,2014.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,9.431934795749375e-05
141,4000166.0,2011.0,0.01,0.33,0.0,0.01,0.09,0.05,0.0,0.000713802238160367
142,4000166.0,2014.0,0.01,0.11,0.06,0.03,0.09,0.05,0.03,0.0005715720097310507
143,4000168.0,2011.0,0.02,0.22,0.05,0.08,0.12,0.07,0.07,0.000960000963213048
144,4000168.0,2014.0,0.0,0.03,0.01,0.01,0.09,0.05,0.0,0.00025387824066658814
145,4000170.0,2011.0,0.02,0.06,0.0,0.03,0.13,0.04,0.03,0.0004400418305223906
146,4000170.0,2014.0,0.01,0.0,0.02,0.01,0.15,0.06,0.0,0.00032856941423533767
147,4000864.0,2011.0,0.08,0.09,0.08,0.04,0.19,0.13,0.04,0.0009662880336315633
148,4000864.0,2014.0,0.09,0.06,0.04,0.07,0.16,0.07,0.04,0.000806512949583973
149,4002213.0,2011.0,0.01,0.07,0.06,0.0,0.12,0.12,0.1,0.0007032186823583425
150,4002213.0,2014.0,0.14,0.0,0.02,0.05,0.11,0.12,0.06,0.0007775534822607364
151,4102905.0,2011.0,0.0,0.0,0.17,0.07,0.17,0.1,0.1,0.0009327946305548848
152,4200260.0,2014.0,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.0001471071515702431
153,4200470.0,2011.0,0.01,0.0,0.09,0.01,0.05,0.04,0.02,0.00034387993583272957
154,4200769.0,2011.0,0.0,0.0,0.07,0.04,0.07,0.03,0.0,0.00031944156661286704
155,4201392.0,2011.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.178991849468672e-05
156,4201392.0,2014.0,0.0,0.0,0.0,0.0,0.09,0.01,0.0,0.0001193062173553678
157,4202426.0,2011.0,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.00012212028217236905
158,4202525.0,2011.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2.357983698937344e-05
159,4500366.0,2011.0,0.0,0.43,0.0,0.0,0.08,0.05,0.0,0.0008184200591845806
160,4500366.0,2014.0,0.0,0.39,0.0,0.0,0.14,0.1,0.0,0.0008939242356722514
161,4503336.0,2011.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.00016505885892561408
162,4503615.0,2011.0,0.0,0.08,0.0,0.01,0.06,0.01,0.0,0.00022429756860333714
163,4503615.0,2014.0,0.0,0.04,0.0,0.0,0.1,0.01,0.0,0.0001923162248464406
164,5001267.0,2011.0,0.02,0.07,0.09,0.03,0.09,0.06,0.02,0.000579132079072849
165,5001267.0,2014.0,0.01,0.01,0.03,0.0,0.17,0.06,0.0,0.0003674815689464743
166,5001544.0,2011.0,0.1,0.02,0.05,0.02,0.17,0.17,0.07,0.0008870664811633396
167,5001544.0,2014.0,0.16,0.02,0.02,0.01,0.11,0.06,0.0,0.0005928430982468948
168,5001614.0,2011.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.00010892333126918171
169,5001614.0,2014.0,0.0,0.0,0.0,0.0,0.09,0.02,0.18,0.00043819751806304275
170,5001642.0,2011.0,0.05,0.03,0.01,0.01,0.14,0.11,0.02,0.000519583348590348
171,5001642.0,2014.0,0.01,0.08,0.0,0.0,0.11,0.05,0.02,0.0003708016290502354
172,5001760.0,2011.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.178991849468672e-05
173,5001857.0,2011.0,0.0,0.0,0.0,0.0,0.12,0.13,0.0,0.000313039383677676
